Sample,X,Y,Z,Protolith,Weathering,SiO2,Al2O3,Fe2O3,MgO,CaO,TiO2,P2O5,BaO,C
SC04 9.30 a 18.20,542.22,1472.78,1009.05,FCR/DC,MB,16.73,1.82,23.17,11.38,14.32,4.12,10.93,3.59,0.38
SR09-016 41.01 a 51.00,1524.96,1926.08,1005.33,FCR/DC,MB,12.56,3.35,26.18,6.07,20.81,4.28,16.9,0.63,0.37
CMA-BAR-DH-0151  15 a 21,636.0231,890.9774,983.12,FCR/DC,RA,25.68,4.61,12.76,14.86,14.15,4.66,4.68,1.04,1.75
CMA-BAR-DH-0151  21 a 30,636.0231,890.9774,975.62,FCR/DC,RA,20.64,3.95,13.59,12.28,17.71,4.41,6.66,1.31,2.28
SC01 10.38 a 25.38,511.17,1453.64,1014.5,FCR/DC,RA,13.87,1.56,29.88,11.87,9.41,2.3,5.92,6.11,2.57
SC01 27.38 a 35.38,511.17,1453.64,1001,FCR/DC,RA,10.64,1.28,32.66,9.25,14.82,0.86,9.57,3.34,2.37
SC01 39.38 a 47.38,511.17,1453.64,989,FCR/DC,RA,13.13,1.27,34.91,11.22,11.3,2.15,6.1,2.12,3.13
SC01 48.38 a 54.38,511.17,1453.64,981,FCR/DC,RA,20.56,1.74,26.38,13.8,10.87,1.92,6.69,1.13,2.13
SC04 25.80 a 30.80,542.22,1472.78,994.5,FCR/DC,RA,7.24,0.64,15.9,13.12,25.2,1.39,5.85,1.21,7.14
SC04 30.80 a 35.90,542.22,1472.78,989.45,FCR/DC,RA,6.46,0.59,12.73,14.1,24.88,1.41,6.52,0.89,7.72
